"","ID","N","distribution","mean","sd","df"
"321",321,20,"Normal",0,1.73205080756888,NA
"322",322,20,"Normal",0,1.73205080756888,NA
"323",323,20,"Normal",0,1.73205080756888,NA
"324",324,20,"Normal",0,1.73205080756888,NA
"325",325,20,"T",0,1.73205080756888,3
"326",326,20,"Exponential",1.73205080756888,1.73205080756888,NA
"327",327,20,"Log-Normal",4.48168907033806,1.73205080756888,NA
"328",328,20,"Chi-Squared",3,2.44948974278318,3
"329",329,20,"Normal",0,1.4142135623731,NA
"330",330,20,"Normal",0,1.4142135623731,NA
"331",331,20,"Normal",0,1.4142135623731,NA
"332",332,20,"Normal",0,1.4142135623731,NA
"333",333,20,"T",0,1.4142135623731,4
"334",334,20,"Exponential",1.4142135623731,1.4142135623731,NA
"335",335,20,"Log-Normal",2.71828182845905,1.4142135623731,NA
"336",336,20,"Chi-Squared",4,2.82842712474619,4
"337",337,20,"Normal",0,1.29099444873581,NA
"338",338,20,"Normal",0,1.29099444873581,NA
"339",339,20,"Normal",0,1.29099444873581,NA
"340",340,20,"Normal",0,1.29099444873581,NA
"341",341,20,"T",0,1.29099444873581,5
"342",342,20,"Exponential",1.29099444873581,1.29099444873581,NA
"343",343,20,"Log-Normal",2.30097589089283,1.29099444873581,NA
"344",344,20,"Chi-Squared",5,3.16227766016838,5
"345",345,20,"Normal",0,1.22474487139159,NA
"346",346,20,"Normal",0,1.22474487139159,NA
"347",347,20,"Normal",0,1.22474487139159,NA
"348",348,20,"Normal",0,1.22474487139159,NA
"349",349,20,"T",0,1.22474487139159,6
"350",350,20,"Exponential",1.22474487139159,1.22474487139159,NA
"351",351,20,"Log-Normal",2.11700001661267,1.22474487139159,NA
"352",352,20,"Chi-Squared",6,3.46410161513775,6
"353",353,20,"Normal",0,1.18321595661992,NA
"354",354,20,"Normal",0,1.18321595661992,NA
"355",355,20,"Normal",0,1.18321595661992,NA
"356",356,20,"Normal",0,1.18321595661992,NA
"357",357,20,"T",0,1.18321595661992,7
"358",358,20,"Exponential",1.18321595661992,1.18321595661992,NA
"359",359,20,"Log-Normal",2.01375270747048,1.18321595661992,NA
"360",360,20,"Chi-Squared",7,3.74165738677394,7
"361",361,30,"Normal",0,1.73205080756888,NA
"362",362,30,"Normal",0,1.73205080756888,NA
"363",363,30,"Normal",0,1.73205080756888,NA
"364",364,30,"Normal",0,1.73205080756888,NA
"365",365,30,"T",0,1.73205080756888,3
"366",366,30,"Exponential",1.73205080756888,1.73205080756888,NA
"367",367,30,"Log-Normal",4.48168907033806,1.73205080756888,NA
"368",368,30,"Chi-Squared",3,2.44948974278318,3
"369",369,30,"Normal",0,1.4142135623731,NA
