"","ID","Rate","N","SD","signal"
"948",948,1,300,1,1
"949",949,1.5,300,1,1
"950",950,2,300,1,1
"951",951,0.5,300,2,1
"952",952,0.75,300,2,1
"953",953,1,300,2,1
"954",954,1.5,300,2,1
"955",955,2,300,2,1
"956",956,0.5,300,3,1
"957",957,0.75,300,3,1
"958",958,1,300,3,1
"959",959,1.5,300,3,1
"960",960,2,300,3,1
"961",961,0.5,300,4,1
"962",962,0.75,300,4,1
"963",963,1,300,4,1
"964",964,1.5,300,4,1
"965",965,2,300,4,1
"966",966,0.5,300,6,1
"967",967,0.75,300,6,1
"968",968,1,300,6,1
"969",969,1.5,300,6,1
"970",970,2,300,6,1
"971",971,0.5,300,8,1
"972",972,0.75,300,8,1
"973",973,1,300,8,1
"974",974,1.5,300,8,1
"975",975,2,300,8,1
"976",976,0.5,300,12,1
"977",977,0.75,300,12,1
"978",978,1,300,12,1
