"","ID","N","radius","startingAngle","sd1","sd2","signal"
"528",264,100,1,0.785398163397448,1,1,0
"529",265,100,1,0.785398163397448,0.166666666666667,0.125,1
"530",265,100,1,0.785398163397448,1,1,0
"531",266,100,1,0.785398163397448,0.166666666666667,0.142857142857143,1
"532",266,100,1,0.785398163397448,1,1,0
"533",267,100,1,0.785398163397448,0.166666666666667,0.166666666666667,1
"534",267,100,1,0.785398163397448,1,1,0
"535",268,100,1,0.785398163397448,0.166666666666667,0.2,1
"536",268,100,1,0.785398163397448,1,1,0
"537",269,100,1,0.785398163397448,0.166666666666667,0.25,1
"538",269,100,1,0.785398163397448,1,1,0
"539",270,100,1,0.785398163397448,0.166666666666667,0.333333333333333,1
"540",270,100,1,0.785398163397448,1,1,0
"541",271,100,1,0.785398163397448,0.2,0.125,1
"542",271,100,1,0.785398163397448,1,1,0
"543",272,100,1,0.785398163397448,0.2,0.142857142857143,1
"544",272,100,1,0.785398163397448,1,1,0
"545",273,100,1,0.785398163397448,0.2,0.166666666666667,1
"546",273,100,1,0.785398163397448,1,1,0
"547",274,100,1,0.785398163397448,0.2,0.2,1
"548",274,100,1,0.785398163397448,1,1,0
"549",275,100,1,0.785398163397448,0.2,0.25,1
"550",275,100,1,0.785398163397448,1,1,0
"551",276,100,1,0.785398163397448,0.2,0.333333333333333,1
"552",276,100,1,0.785398163397448,1,1,0
"553",277,100,1,0.785398163397448,0.25,0.125,1
"554",277,100,1,0.785398163397448,1,1,0
"555",278,100,1,0.785398163397448,0.25,0.142857142857143,1
"556",278,100,1,0.785398163397448,1,1,0
"557",279,100,1,0.785398163397448,0.25,0.166666666666667,1
"558",279,100,1,0.785398163397448,1,1,0
"559",280,100,1,0.785398163397448,0.25,0.2,1
"560",280,100,1,0.785398163397448,1,1,0
"561",281,100,1,0.785398163397448,0.25,0.25,1
"562",281,100,1,0.785398163397448,1,1,0
"563",282,100,1,0.785398163397448,0.25,0.333333333333333,1
"564",282,100,1,0.785398163397448,1,1,0
"565",283,100,1,0.785398163397448,0.333333333333333,0.125,1
"566",283,100,1,0.785398163397448,1,1,0
"567",284,100,1,0.785398163397448,0.333333333333333,0.142857142857143,1
"568",284,100,1,0.785398163397448,1,1,0
"569",285,100,1,0.785398163397448,0.333333333333333,0.166666666666667,1
"570",285,100,1,0.785398163397448,1,1,0
"571",286,100,1,0.785398163397448,0.333333333333333,0.2,1
"572",286,100,1,0.785398163397448,1,1,0
"573",287,100,1,0.785398163397448,0.333333333333333,0.25,1
"574",287,100,1,0.785398163397448,1,1,0
"575",288,100,1,0.785398163397448,0.333333333333333,0.333333333333333,1
"576",288,100,1,0.785398163397448,1,1,0
"577",289,133,1,0.785398163397448,0.125,0.125,1
"578",289,133,1,0.785398163397448,1,1,0
"579",290,133,1,0.785398163397448,0.125,0.142857142857143,1
"580",290,133,1,0.785398163397448,1,1,0
"581",291,133,1,0.785398163397448,0.125,0.166666666666667,1
"582",291,133,1,0.785398163397448,1,1,0
"583",292,133,1,0.785398163397448,0.125,0.2,1
"584",292,133,1,0.785398163397448,1,1,0
"585",293,133,1,0.785398163397448,0.125,0.25,1
"586",293,133,1,0.785398163397448,1,1,0
"587",294,133,1,0.785398163397448,0.125,0.333333333333333,1
"588",294,133,1,0.785398163397448,1,1,0
"589",295,133,1,0.785398163397448,0.142857142857143,0.125,1
"590",295,133,1,0.785398163397448,1,1,0
"591",296,133,1,0.785398163397448,0.142857142857143,0.142857142857143,1
"592",296,133,1,0.785398163397448,1,1,0
